winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency
None,0.0,52.0,13.0,20.0,31.0,20.0,4.0,6.0,0.41935483870967744,1.0
US,0.0,27.0,14.0,2.0,16.0,10.0,5.0,1.0,0.875,0.2
GE,0.0,58.0,11.0,24.0,13.0,17.0,4.0,7.0,0.8461538461538461,1.411764705882353
None,0.0,62.0,9.0,20.0,26.0,30.0,3.0,6.0,0.34615384615384615,0.6666666666666666
None,0.0,47.0,11.0,20.0,27.0,19.0,4.0,6.0,0.4074074074074074,1.0526315789473684
None,0.0,56.0,10.0,20.0,25.0,26.0,3.0,6.0,0.4,0.7692307692307693
None,0.0,58.0,10.0,20.0,22.0,28.0,3.0,6.0,0.45454545454545453,0.7142857142857143
US,0.0,35.0,14.0,8.0,21.0,13.0,5.0,3.0,0.6666666666666666,0.6153846153846154
US,0.0,33.0,14.0,5.0,19.0,11.0,5.0,2.0,0.7368421052631579,0.45454545454545453
GE,0.0,55.0,10.0,24.0,10.0,20.0,3.0,7.0,1.0,1.2
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,41.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,27.0,0.0,24.0,0.0,13.0,0.0,7.0,0.0,1.8461538461538463
US,0.0,29.0,14.0,15.0,17.0,11.0,5.0,4.0,0.8235294117647058,1.3636363636363635
US,0.0,27.0,14.0,2.0,17.0,9.0,5.0,1.0,0.8235294117647058,0.2222222222222222
US,0.0,28.0,14.0,10.0,18.0,9.0,5.0,3.0,0.7777777777777778,1.1111111111111112
GE,0.0,58.0,8.0,24.0,8.0,21.0,3.0,7.0,1.0,1.1428571428571428
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,54.0,0.0,24.0,0.0,28.0,0.0,7.0,0.0,0.8571428571428571
GE,0.0,47.0,0.0,24.0,0.0,23.0,0.0,7.0,0.0,1.0434782608695652
GE,0.0,35.0,2.0,24.0,3.0,19.0,1.0,7.0,0.6666666666666666,1.263157894736842
GE,0.0,44.0,6.0,24.0,7.0,19.0,2.0,7.0,0.8571428571428571,1.263157894736842
GE,0.0,39.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
None,0.0,58.0,13.0,20.0,33.0,20.0,4.0,6.0,0.3939393939393939,1.0
None,0.0,90.0,13.0,6.0,29.0,19.0,4.0,2.0,0.4482758620689655,0.3157894736842105
US,0.0,33.0,14.0,6.0,18.0,11.0,5.0,2.0,0.7777777777777778,0.5454545454545454
None,0.0,59.0,10.0,20.0,20.0,28.0,3.0,6.0,0.5,0.7142857142857143
US,0.0,35.0,14.0,2.0,22.0,12.0,5.0,1.0,0.6363636363636364,0.16666666666666666
US,0.0,35.0,14.0,13.0,22.0,12.0,5.0,4.0,0.6363636363636364,1.0833333333333333
GE,0.0,44.0,9.0,24.0,16.0,19.0,3.0,7.0,0.5625,1.263157894736842
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
None,0.0,64.0,8.0,20.0,16.0,32.0,3.0,6.0,0.5,0.625
US,0.0,25.0,14.0,12.0,15.0,9.0,5.0,4.0,0.9333333333333333,1.3333333333333333
None,0.0,53.0,11.0,20.0,22.0,22.0,4.0,6.0,0.5,0.9090909090909091
US,0.0,40.0,14.0,8.0,22.0,14.0,5.0,3.0,0.6363636363636364,0.5714285714285714
None,0.0,57.0,10.0,20.0,27.0,28.0,3.0,6.0,0.37037037037037035,0.7142857142857143
US,0.0,36.0,14.0,2.0,24.0,11.0,5.0,1.0,0.5833333333333334,0.18181818181818182
US,0.0,34.0,14.0,13.0,19.0,14.0,5.0,4.0,0.7368421052631579,0.9285714285714286
US,0.0,26.0,14.0,2.0,16.0,9.0,5.0,1.0,0.875,0.2222222222222222
US,0.0,40.0,14.0,2.0,26.0,13.0,5.0,1.0,0.5384615384615384,0.15384615384615385
US,0.0,29.0,14.0,3.0,16.0,12.0,5.0,1.0,0.875,0.25
US,0.0,27.0,14.0,2.0,17.0,9.0,5.0,1.0,0.8235294117647058,0.2222222222222222
US,0.0,35.0,14.0,13.0,21.0,13.0,5.0,4.0,0.6666666666666666,1.0
US,0.0,24.0,14.0,2.0,14.0,9.0,5.0,1.0,1.0,0.2222222222222222
GE,0.0,53.0,8.0,24.0,15.0,22.0,3.0,7.0,0.5333333333333333,1.0909090909090908
GE,0.0,48.0,2.0,24.0,3.0,23.0,1.0,7.0,0.6666666666666666,1.0434782608695652
US,0.0,35.0,14.0,8.0,20.0,12.0,5.0,3.0,0.7,0.6666666666666666
US,0.0,25.0,14.0,9.0,14.0,9.0,5.0,3.0,1.0,1.0
US,0.0,32.0,14.0,11.0,19.0,11.0,5.0,3.0,0.7368421052631579,1.0
US,0.0,28.0,14.0,13.0,17.0,10.0,5.0,4.0,0.8235294117647058,1.3
US,0.0,20.0,14.0,7.0,11.0,8.0,5.0,2.0,1.2727272727272727,0.875
US,0.0,32.0,14.0,2.0,20.0,11.0,5.0,1.0,0.7,0.18181818181818182
GE,0.0,36.0,6.0,24.0,6.0,16.0,2.0,7.0,1.0,1.5
GE,0.0,32.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,39.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,55.0,0.0,24.0,0.0,29.0,0.0,7.0,0.0,0.8275862068965517
None,0.0,47.0,11.0,20.0,20.0,21.0,4.0,6.0,0.55,0.9523809523809523
GE,0.0,44.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,36.0,2.0,24.0,3.0,18.0,1.0,7.0,0.6666666666666666,1.3333333333333333
US,0.0,37.0,14.0,2.0,22.0,12.0,5.0,1.0,0.6363636363636364,0.16666666666666666
US,0.0,23.0,14.0,3.0,14.0,8.0,5.0,1.0,1.0,0.375
GE,0.0,37.0,2.0,24.0,1.0,19.0,1.0,7.0,2.0,1.263157894736842
GE,0.0,44.0,0.0,24.0,1.0,22.0,0.0,7.0,0.0,1.0909090909090908
US,0.0,30.0,14.0,11.0,19.0,10.0,5.0,3.0,0.7368421052631579,1.1
GE,0.0,54.0,8.0,24.0,10.0,24.0,3.0,7.0,0.8,1.0
GE,0.0,36.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
None,0.0,61.0,12.0,20.0,28.0,25.0,4.0,6.0,0.42857142857142855,0.8
None,0.0,55.0,13.0,20.0,32.0,20.0,4.0,6.0,0.40625,1.0
GE,0.0,34.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,40.0,2.0,24.0,1.0,21.0,1.0,7.0,2.0,1.1428571428571428
US,0.0,35.0,14.0,1.0,24.0,11.0,5.0,0.0,0.5833333333333334,0.09090909090909091
GE,0.0,54.0,6.0,24.0,15.0,24.0,2.0,7.0,0.4,1.0
GE,0.0,38.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0,1.2
GE,0.0,47.0,0.0,24.0,0.0,25.0,0.0,7.0,0.0,0.96
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
GE,0.0,29.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0,1.6
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
