winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
GE,0.0,92.0,6.0,24.0,32.0,35.0,2.0,7.0,0.1875,0.6857142857142857,0.17391304347826086,0.8260869565217391,0.7142857142857143,0.8260869565217391
GE,0.0,71.0,0.0,24.0,19.0,32.0,0.0,7.0,0.0,0.75,0.0,1.0,0.875,1.0
GE,0.0,80.0,7.0,24.0,18.0,27.0,2.0,7.0,0.3888888888888889,0.8888888888888888,0.23809523809523808,0.7619047619047619,0.6976744186046512,0.7619047619047619
GE,0.0,88.0,11.0,24.0,29.0,30.0,4.0,7.0,0.3793103448275862,0.8,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666
US,0.0,79.0,14.0,17.0,23.0,23.0,5.0,4.0,0.6086956521739131,0.7391304347826086,0.4166666666666667,0.5833333333333334,0.6428571428571429,0.5833333333333334
GE,0.0,73.0,8.0,24.0,17.0,25.0,3.0,7.0,0.47058823529411764,0.96,0.25,0.75,0.6444444444444445,0.75
None,0.0,113.0,4.0,10.0,21.0,40.0,1.0,2.0,0.19047619047619047,0.25,0.2727272727272727,0.7272727272727273,0.52,0.7272727272727273
None,0.0,89.0,11.0,16.0,28.0,31.0,4.0,5.0,0.39285714285714285,0.5161290322580645,0.45,0.55,0.7708333333333334,0.55
US,0.0,67.0,14.0,17.0,21.0,21.0,5.0,5.0,0.6666666666666666,0.8095238095238095,0.5,0.5,0.7073170731707317,0.5
None,0.0,81.0,10.0,20.0,30.0,26.0,3.0,6.0,0.3333333333333333,0.7692307692307693,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.6666666666666666
GE,0.0,82.0,2.0,24.0,21.0,42.0,0.0,7.0,0.09523809523809523,0.5714285714285714,0.13333333333333333,0.8666666666666667,0.896551724137931,0.8666666666666667
None,0.0,96.0,8.0,18.0,35.0,33.0,2.0,5.0,0.22857142857142856,0.5454545454545454,0.25,0.75,0.8,0.75
US,0.0,78.0,14.0,20.0,20.0,26.0,5.0,6.0,0.7,0.7692307692307693,0.4090909090909091,0.5909090909090909,0.6578947368421053,0.5909090909090909
GE,0.0,62.0,4.0,24.0,14.0,20.0,0.0,7.0,0.2857142857142857,1.2,0.17647058823529413,0.8235294117647058,0.6,0.8235294117647058
None,0.0,87.0,12.0,16.0,30.0,30.0,3.0,4.0,0.4,0.5333333333333333,0.47619047619047616,0.5238095238095238,0.8076923076923077,0.5238095238095238
None,0.0,91.0,6.0,22.0,30.0,39.0,2.0,6.0,0.2,0.5641025641025641,0.2,0.8,0.8780487804878049,0.8
GE,0.0,74.0,8.0,24.0,22.0,30.0,2.0,7.0,0.36363636363636365,0.8,0.22727272727272727,0.7727272727272727,0.8484848484848485,0.7727272727272727
GE,0.0,74.0,5.0,24.0,20.0,30.0,1.0,7.0,0.25,0.8,0.21052631578947367,0.7894736842105263,0.8,0.7894736842105263
None,0.0,84.0,13.0,16.0,25.0,26.0,4.0,4.0,0.52,0.6153846153846154,0.3684210526315789,0.631578947368421,0.631578947368421,0.631578947368421
None,0.0,95.0,6.0,20.0,34.0,40.0,2.0,6.0,0.17647058823529413,0.5,0.3,0.7,0.95,0.7
None,0.0,91.0,8.0,20.0,29.0,32.0,2.0,5.0,0.27586206896551724,0.625,0.35,0.65,0.813953488372093,0.65
None,0.0,90.0,11.0,21.0,23.0,29.0,4.0,5.0,0.4782608695652174,0.7241379310344828,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.6666666666666666
None,0.0,79.0,13.0,20.0,29.0,25.0,4.0,6.0,0.4482758620689655,0.8,0.4782608695652174,0.5217391304347826,0.7894736842105263,0.5217391304347826
GE,0.0,67.0,6.0,24.0,15.0,26.0,2.0,7.0,0.4,0.9230769230769231,0.2222222222222222,0.7777777777777778,0.7352941176470589,0.7777777777777778
US,0.0,78.0,14.0,23.0,21.0,29.0,5.0,6.0,0.6666666666666666,0.7931034482758621,0.43478260869565216,0.5652173913043478,0.7317073170731707,0.5652173913043478
None,0.0,76.0,12.0,20.0,20.0,21.0,4.0,6.0,0.6,0.9523809523809523,0.34782608695652173,0.6521739130434783,0.5416666666666666,0.6521739130434783
None,0.0,80.0,10.0,21.0,25.0,30.0,3.0,6.0,0.4,0.7,0.3,0.7,0.7727272727272727,0.7
US,0.0,100.0,14.0,12.0,31.0,30.0,5.0,2.0,0.45161290322580644,0.4,0.6,0.4,0.6923076923076923,0.4
None,0.0,84.0,13.0,19.0,23.0,26.0,4.0,5.0,0.5652173913043478,0.7307692307692307,0.48,0.52,0.6382978723404256,0.52
None,0.0,88.0,12.0,16.0,27.0,31.0,4.0,5.0,0.4444444444444444,0.5161290322580645,0.43478260869565216,0.5652173913043478,0.5,0.5652173913043478
GE,0.0,90.0,9.0,24.0,31.0,32.0,2.0,7.0,0.2903225806451613,0.75,0.36363636363636365,0.6363636363636364,0.7894736842105263,0.6363636363636364
GE,0.0,78.0,12.0,24.0,21.0,24.0,4.0,7.0,0.5714285714285714,1.0,0.391304347826087,0.6086956521739131,0.6666666666666666,0.6086956521739131
US,0.0,84.0,14.0,14.0,22.0,24.0,5.0,3.0,0.6363636363636364,0.5833333333333334,0.47368421052631576,0.5263157894736842,0.5531914893617021,0.5263157894736842
GE,0.0,74.0,6.0,24.0,22.0,28.0,2.0,7.0,0.2727272727272727,0.8571428571428571,0.23529411764705882,0.7647058823529411,0.6666666666666666,0.7647058823529411
None,0.0,97.0,9.0,17.0,29.0,33.0,3.0,4.0,0.3103448275862069,0.5151515151515151,0.4444444444444444,0.5555555555555556,0.6428571428571429,0.5555555555555556
None,0.0,81.0,12.0,20.0,25.0,30.0,3.0,6.0,0.48,0.6666666666666666,0.45,0.55,0.75,0.55
None,0.0,86.0,9.0,19.0,25.0,29.0,3.0,5.0,0.36,0.6551724137931034,0.3888888888888889,0.6111111111111112,0.6111111111111112,0.6111111111111112
None,0.0,81.0,11.0,21.0,28.0,29.0,3.0,5.0,0.39285714285714285,0.7241379310344828,0.34782608695652173,0.6521739130434783,0.8387096774193549,0.6521739130434783
None,0.0,82.0,12.0,22.0,27.0,29.0,4.0,6.0,0.4444444444444444,0.7586206896551724,0.36363636363636365,0.6363636363636364,0.75,0.6363636363636364
GE,0.0,68.0,11.0,24.0,16.0,22.0,4.0,7.0,0.6875,1.0909090909090908,0.3181818181818182,0.6818181818181818,0.625,0.6818181818181818
GE,0.0,72.0,8.0,24.0,21.0,27.0,2.0,7.0,0.38095238095238093,0.8888888888888888,0.3,0.7,0.8518518518518519,0.7
None,0.0,75.0,6.0,23.0,16.0,33.0,2.0,6.0,0.375,0.696969696969697,0.23809523809523808,0.7619047619047619,0.7948717948717948,0.7619047619047619
None,0.0,104.0,7.0,18.0,37.0,37.0,2.0,4.0,0.1891891891891892,0.4864864864864865,0.35294117647058826,0.6470588235294118,0.0,0.6470588235294118
None,0.0,91.0,6.0,22.0,27.0,40.0,2.0,6.0,0.2222222222222222,0.55,0.25,0.75,0.84,0.75
GE,0.0,80.0,6.0,24.0,27.0,27.0,2.0,7.0,0.2222222222222222,0.8888888888888888,0.23529411764705882,0.7647058823529411,0.8095238095238095,0.7647058823529411
None,0.0,105.0,9.0,10.0,45.0,34.0,3.0,2.0,0.2,0.29411764705882354,0.42857142857142855,0.5714285714285714,0.0,0.5714285714285714
US,0.0,78.0,14.0,13.0,23.0,24.0,5.0,3.0,0.6086956521739131,0.5416666666666666,0.6,0.4,0.6829268292682927,0.4
None,0.0,99.0,7.0,16.0,40.0,36.0,2.0,4.0,0.175,0.4444444444444444,0.3157894736842105,0.6842105263157895,0.6666666666666666,0.6842105263157895
GE,0.0,51.0,9.0,24.0,12.0,19.0,2.0,7.0,0.75,1.263157894736842,0.375,0.625,0.7428571428571429,0.625
None,0.0,79.0,13.0,22.0,26.0,27.0,4.0,6.0,0.5,0.8148148148148148,0.43478260869565216,0.5652173913043478,0.7878787878787878,0.5652173913043478
None,0.0,82.0,13.0,23.0,23.0,31.0,4.0,6.0,0.5652173913043478,0.7419354838709677,0.4090909090909091,0.5909090909090909,0.7636363636363637,0.5909090909090909
US,0.0,60.0,14.0,16.0,18.0,17.0,5.0,5.0,0.7777777777777778,0.9411764705882353,0.42105263157894735,0.5789473684210527,0.65625,0.5789473684210527
None,0.0,104.0,9.0,16.0,32.0,37.0,2.0,4.0,0.28125,0.43243243243243246,0.3684210526315789,0.631578947368421,0.0,0.631578947368421
None,0.0,93.0,11.0,19.0,29.0,33.0,4.0,5.0,0.3793103448275862,0.5757575757575758,0.3157894736842105,0.6842105263157895,0.75,0.6842105263157895
GE,0.0,71.0,11.0,24.0,17.0,26.0,3.0,7.0,0.6470588235294118,0.9230769230769231,0.2608695652173913,0.7391304347826086,0.6976744186046512,0.7391304347826086
None,0.0,101.0,9.0,19.0,32.0,41.0,3.0,5.0,0.28125,0.4634146341463415,0.38095238095238093,0.6190476190476191,0.8461538461538461,0.6190476190476191
None,0.0,102.0,7.0,18.0,33.0,36.0,2.0,5.0,0.21212121212121213,0.5,0.25,0.75,0.8367346938775511,0.75
